"Day","Month",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1,206,205,169,77,53,281,113,130,59,180,194,215,111,60,154,129,177,109,42,365,220,186,105,,87,101,315,182,326,561,100,336,223,155,161,143,34,258,128,132,282,367,423,333
2,1,176,214,179,78,58,285,110,124,58,183,191,267,107,56,141,132,166,108,41,349,216,190,108,,88,107,292,177,303,587,93,325,217,150,166,143,38,251,137,132,259,374,416,336
3,1,165,215,172,82,66,290,107,120,60,196,187,310,102,51,132,127,157,107,39,315,206,198,110,,96,111,272,172,280,611,88,312,211,144,162,136,39,238,155,137,242,393,403,341
4,1,155,215,163,98,78,293,104,116,61,236,183,333,97,46,124,118,152,110,42,295,187,197,109,,112,111,254,168,258,629,84,300,204,135,155,126,41,228,176,139,224,378,394,371
5,1,153,183,161,116,85,280,101,111,65,264,179,352,93,41,116,111,150,111,47,273,173,191,105,,114,112,251,165,238,648,80,288,198,129,150,120,47,221,182,135,216,365,389,410
6,1,151,178,148,120,83,257,99,106,67,260,175,363,90,37,112,105,155,115,55,256,163,182,102,,111,118,261,157,225,649,80,278,193,125,151,116,57,216,183,127,202,360,386,441
7,1,146,174,134,116,76,245,97,102,63,239,173,362,94,33,120,104,156,129,61,248,162,170,100,,111,126,274,155,210,636,81,304,190,122,154,122,55,211,184,121,191,359,374,455
8,1,144,163,134,115,70,233,97,101,58,223,172,350,95,30,126,104,154,151,66,247,167,162,93,,117,134,299,156,210,617,79,358,192,117,165,127,52,207,172,120,185,359,350,457
9,1,141,146,139,111,73,223,100,99,55,219,173,332,94,34,131,108,162,159,66,255,166,154,84,,123,142,334,147,195,598,74,396,196,113,179,119,48,195,166,119,175,356,335,451
10,1,128,141,146,98,93,211,103,97,53,222,177,313,95,35,136,109,183,157,68,256,166,148,79,,139,142,383,150,191,574,70,404,203,109,185,109,45,191,161,121,166,364,311,453
11,1,125,159,153,98,112,199,106,96,53,238,192,297,92,31,146,105,185,161,67,260,167,143,75,,162,136,413,156,190,546,70,406,208,105,182,102,43,185,154,123,158,382,297,480
12,1,121,152,153,106,115,194,107,97,50,244,210,285,88,32,152,101,174,178,63,257,176,141,71,,173,135,424,154,192,511,67,414,217,103,172,99,40,177,144,121,154,428,298,517
13,1,111,147,153,110,105,222,112,100,47,238,213,281,85,41,156,95,160,192,57,264,192,141,66,,174,144,418,150,214,474,74,418,226,101,165,97,39,173,131,122,149,506,299,536
14,1,102,147,153,112,93,240,111,111,48,234,211,273,84,63,162,80,147,209,53,282,204,142,64,,175,146,404,147,230,449,74,409,229,96,162,94,36,168,122,124,147,539,300,538
15,1,96,149,147,122,82,258,104,118,50,246,212,260,86,78,160,80,143,227,52,294,254,140,62,,183,137,384,143,232,431,81,393,235,91,160,91,33,170,116,122,142,555,301,532
