"Month","Day",1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,1,1487,1600,1412,1561,1763,1417,1511,1324,1522,1323,1726,1386,1486,1452,1394,1688,1508,1294,1555,1379,1443,1588,1500,1390,1394,1782,1506,1758,1826,1385,1630,1829,1588,1441,1481,1352,1870,1500,1491,1748,1747,1823,1502
1,2,1496,1608,1427,1546,1771,1402,1496,1323,1536,1317,1730,1384,1464,1441,1385,1682,1493,1294,1571,1372,1457,1578,1473,1393,1385,1773,1514,1750,1824,1378,1618,1831,1576,1446,1474,1351,1877,1507,1469,1733,1761,1819,1499
1,3,1498,1613,1446,1529,1774,1394,1488,1330,1549,1311,1730,1380,1442,1435,1376,1666,1481,1291,1584,1362,1465,1564,1449,1407,1381,1773,1513,1738,1818,1369,1602,1828,1565,1467,1458,1344,1887,1535,1445,1714,1780,1814,1507
1,4,1492,1612,1460,1525,1773,1388,1487,1341,1562,1311,1727,1376,1434,1434,1365,1647,1471,1289,1591,1352,1467,1547,1425,1420,1388,1773,1505,1726,1811,1356,1591,1823,1553,1485,1447,1339,1897,1535,1428,1693,1800,1807,1519
1,5,1483,1610,1467,1520,1769,1387,1492,1351,1578,1310,1718,1368,1438,1431,1355,1627,1465,1288,1602,1344,1465,1528,1403,1436,1403,1783,1492,1719,1803,1341,1582,1816,1533,1507,1429,1333,1905,1551,1414,1669,1814,1787,1529
1,6,1474,1607,1469,1513,1763,1388,1497,1356,1590,1312,1711,1359,1449,1428,1344,1605,1468,1288,1618,1340,1461,1505,1387,1455,1418,1793,1478,1718,1797,1326,1573,1816,1515,1520,1409,1330,1909,1561,1408,1641,1823,1775,1537
1,7,1471,1602,1471,1504,1751,1386,1503,1358,1607,1312,1709,1358,1466,1434,1333,1583,1469,1287,1634,1338,1454,1484,1365,1487,1422,1800,1464,1713,1789,1313,1564,1815,1486,1528,1381,1329,1909,1564,1412,1609,1823,1762,1547
1,8,1480,1597,1471,1490,1742,1380,1503,1356,1622,1314,1710,1360,1486,1442,1325,1562,1468,1285,1644,1335,1453,1463,1350,1548,1420,1807,1448,1705,1784,1300,1554,1811,1460,1538,1379,1324,1907,1559,1416,1570,1832,1747,1567
1,9,1495,1586,1471,1486,1722,1372,1502,1355,1627,1314,1708,1367,1501,1446,1316,1547,1473,1280,1664,1331,1450,1443,1337,1599,1414,1809,1430,1699,1782,1294,1544,1805,1436,1539,1367,1317,1909,1549,1414,1532,1856,1732,1584
1,10,1500,1578,1476,1479,1711,1364,1496,1352,1624,1314,1704,1375,1508,1447,1306,1532,1484,1274,1682,1326,1448,1424,1326,1622,1410,1807,1413,1696,1788,1295,1552,1807,1415,1533,1358,1311,1911,1540,1416,1499,1871,1718,1595
