"Date","1980/1981","1981/1982","1982/1983","1983/1984","1984/1985","1985/1986","1986/1987","1987/1988","1988/1989","1989/1990","1990/1991","1991/1992","1992/1993","1993/1994","1994/1995","1995/1996","1996/1997","1997/1998","1998/1999","1999/2000","2000/2001","2001/2002","2002/2003","2003/2004","2004/2005","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023"
"01-Jul",1257,1253,1436,1098,1331,1231,1339,1277,1328,1539,1439,1358,923,1383,1459,1299,1455,1342,1378,1469,1480,1351,1474,1386,1306,1300,1460,1409,1446,1502,1366,1486,1427,1447,1467,1435,1285,1362,1442,1504,1435,1586,1591
"02-Jul",1258,1255,1426,1096,1332,1232,1345,1276,1330,1540,1437,1361,919,1383,1459,1303,1456,1336,1380,1468,1479,1349,1476,1386,1306,1295,1459,1409,1444,1504,1364,1486,1425,1447,1471,1435,1285,1364,1446,1503,1436,1584,1589
"03-Jul",1259,1256,1425,1094,1332,1231,1351,1275,1333,1541,1435,1365,915,1383,1459,1305,1456,1330,1382,1466,1478,1347,1478,1385,1306,1291,1458,1408,1442,1505,1364,1485,1422,1446,1475,1433,1286,1365,1447,1502,1437,1583,1587
"04-Jul",1259,1258,1421,1092,1333,1230,1358,1273,1335,1543,1434,1368,913,1383,1459,1307,1456,1326,1384,1464,1477,1344,1480,1383,1304,1284,1457,1416,1441,1506,1363,1485,1417,1444,1479,1433,1287,1365,1448,1501,1439,1581,1585
"05-Jul",1256,1260,1415,1089,1333,1229,1366,1273,1336,1544,1433,1371,911,1382,1458,1307,1456,1320,1386,1462,1477,1342,1482,1381,1300,1277,1455,1415,1438,1506,1362,1485,1413,1440,1482,1433,1289,1366,1450,1500,1439,1579,1581
"06-Jul",1254,1262,1409,1085,1333,1227,1370,1271,1337,1544,1431,1377,909,1381,1457,1308,1456,1322,1388,1460,1477,1340,1484,1378,1297,1268,1453,1415,1436,1506,1361,1484,1409,1437,1484,1432,1290,1367,1451,1498,1443,1577,1578
"07-Jul",1254,1264,1404,1081,1333,1225,1375,1270,1338,1544,1431,1381,907,1380,1456,1308,1456,1316,1390,1460,1476,1337,1486,1376,1282,1258,1453,1415,1433,1506,1360,1482,1404,1432,1487,1431,1292,1367,1452,1497,1443,1575,1574
"08-Jul",1252,1265,1398,1077,1332,1223,1382,1268,1338,1543,1429,1382,904,1379,1454,1309,1456,1305,1390,1459,1475,1332,1487,1374,1279,1251,1452,1419,1429,1505,1359,1480,1396,1429,1491,1430,1292,1367,1453,1496,1443,1571,1571
"09-Jul",1252,1266,1391,1073,1331,1221,1387,1266,1338,1540,1428,1383,902,1378,1454,1309,1456,1298,1391,1457,1474,1325,1488,1371,1276,1245,1450,1420,1427,1505,1359,1478,1392,1421,1494,1428,1292,1368,1456,1494,1445,1567,1567
"10-Jul",1248,1265,1383,1069,1330,1218,1393,1263,1339,1537,1426,1386,899,1377,1450,1309,1456,1293,1395,1453,1473,1322,1490,1369,1272,1239,1447,1424,1427,1504,1360,1476,1390,1418,1497,1427,1292,1368,1459,1492,1446,1563,1564
"11-Jul",1244,1265,1378,1065,1329,1214,1398,1260,1340,1534,1424,1389,898,1375,1446,1308,1456,1290,1398,1449,1472,1320,1491,1367,1268,1234,1444,1424,1425,1502,1360,1473,1388,1413,1498,1426,1292,1368,1461,1491,1446,1559,1560
"12-Jul",1240,1264,1372,1061,1328,1211,1404,1257,1341,1532,1422,1394,897,1373,1444,1307,1453,1284,1398,1446,1470,1317,1492,1365,1265,1229,1441,1424,1420,1501,1359,1467,1386,1408,1501,1424,1296,1368,1462,1490,1446,1556,1555
