"Date","1980/1981","1981/1982","1982/1983","1983/1984","1984/1985","1985/1986","1986/1987","1987/1988","1988/1989","1989/1990","1990/1991","1991/1992","1992/1993","1993/1994","1994/1995","1995/1996","1996/1997","1997/1998","1998/1999","1999/2000","2000/2001","2001/2002","2002/2003","2003/2004","2004/2005","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023"
"01-Jul",1130,1061,966,674,998,999,1140,954,919,1193,1169,1031,580,1039,1069,1090,1181,760,1136,1111,1249,1020,1183,967,1090,959,1261,1196,1181,1031,1151,1319,902,1087,1035,872,989,1075,1181,1151,1209,1271,1291
"02-Jul",1120,1065,950,677,1010,991,1148,962,925,1191,1166,1039,575,1043,1067,1093,1187,760,1137,1106,1249,1016,1188,966,1082,953,1263,1196,1178,1034,1155,1313,893,1069,1043,869,1002,1087,1187,1148,1215,1268,1288
"03-Jul",1112,1070,923,684,1024,986,1156,969,929,1187,1159,1046,568,1048,1065,1098,1191,764,1141,1099,1250,1012,1207,947,1073,939,1264,1197,1177,1035,1159,1302,890,1052,1049,865,1012,1098,1194,1145,1220,1264,1285
"04-Jul",1104,1077,902,689,1032,987,1163,975,934,1183,1153,1059,561,1051,1065,1102,1195,772,1146,1096,1248,1007,1213,934,1062,930,1265,1198,1177,1035,1162,1293,890,1035,1054,862,1022,1109,1196,1143,1225,1259,1283
"05-Jul",1098,1082,889,692,1039,990,1167,978,939,1177,1149,1074,554,1052,1066,1104,1200,792,1146,1093,1247,1003,1221,935,1053,928,1268,1199,1177,1034,1163,1286,893,1019,1058,860,1030,1120,1201,1141,1229,1251,1281
"06-Jul",1095,1086,873,692,1044,994,1171,977,942,1169,1144,1086,546,1052,1063,1107,1204,801,1146,1090,1247,997,1230,936,1044,928,1270,1202,1176,1034,1163,1277,900,1004,1062,858,1035,1131,1208,1140,1235,1244,1280
"07-Jul",1090,1090,863,688,1050,998,1177,972,944,1162,1139,1095,539,1052,1062,1110,1208,806,1146,1089,1248,989,1232,936,1034,932,1271,1203,1176,1036,1163,1269,906,990,1066,859,1041,1141,1210,1139,1237,1235,1277
"08-Jul",1087,1095,856,680,1058,1004,1181,972,948,1153,1134,1107,532,1052,1058,1114,1210,810,1143,1087,1247,982,1234,943,1025,939,1272,1209,1175,1039,1163,1261,919,974,1070,863,1045,1151,1216,1138,1237,1230,1276
"09-Jul",1085,1098,848,671,1065,1009,1182,973,949,1142,1130,1118,526,1049,1054,1115,1213,814,1140,1084,1242,967,1237,956,1017,949,1272,1211,1175,1043,1163,1250,933,961,1074,864,1050,1161,1221,1136,1238,1222,1276
"10-Jul",1076,1104,845,663,1071,1011,1185,976,958,1125,1125,1128,518,1042,1052,1116,1217,821,1138,1080,1239,946,1242,969,1010,955,1273,1212,1178,1047,1163,1240,944,954,1078,864,1054,1170,1227,1136,1237,1217,1277
"11-Jul",1064,1108,846,654,1075,1008,1185,982,970,1118,1120,1135,510,1037,1051,1120,1220,823,1138,1077,1235,927,1246,987,1004,967,1272,1212,1179,1052,1163,1228,958,954,1082,859,1058,1176,1231,1136,1236,1208,1280
