"Date","1980/1981","1981/1982","1982/1983","1983/1984","1984/1985","1985/1986","1986/1987","1987/1988","1988/1989","1989/1990","1990/1991","1991/1992","1992/1993","1993/1994","1994/1995","1995/1996","1996/1997","1997/1998","1998/1999","1999/2000","2000/2001","2001/2002","2002/2003","2003/2004","2004/2005","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023"
"01-Jul",977,937,945,819,944,935,973,899,965,1075,1017,976,767,920,980,952,1044,846,1030,1000,1003,876,1019,990,914,832,989,1000,939,965,994,979,890,954,1013,967,995,880,1072,1026,963,1041,1000
"02-Jul",974,932,935,822,943,930,983,898,966,1076,1015,984,773,924,973,955,1049,842,1030,996,1002,873,1030,988,911,824,986,1007,942,965,996,980,887,946,1022,969,991,883,1070,1025,965,1038,994
"03-Jul",967,925,924,828,941,925,992,897,965,1073,1017,994,777,926,968,960,1051,837,1030,993,1001,871,1040,988,908,821,985,1013,944,964,999,980,884,938,1031,966,986,889,1069,1024,966,1037,980
"04-Jul",961,920,919,832,938,921,999,899,967,1072,1019,1003,778,927,962,965,1053,833,1030,988,998,870,1047,988,907,818,982,1019,947,964,999,979,881,932,1039,974,985,898,1068,1024,968,1033,979
"05-Jul",956,915,914,834,935,917,1005,900,968,1071,1019,1016,779,928,960,968,1055,827,1031,985,997,870,1051,988,906,814,979,1025,949,963,1002,976,879,926,1046,977,987,905,1069,1024,970,1030,978
"06-Jul",949,909,909,835,933,912,1011,902,970,1070,1020,1025,784,928,957,969,1054,820,1032,983,996,869,1058,985,905,811,979,1029,951,961,1003,972,877,920,1050,977,989,914,1067,1025,973,1027,977
"07-Jul",943,904,903,834,929,907,1016,904,975,1069,1020,1032,788,929,955,970,1050,812,1033,980,994,870,1065,982,903,807,980,1034,952,959,1003,968,877,916,1054,978,994,919,1065,1025,978,1026,972
"08-Jul",936,898,899,836,926,903,1026,909,980,1068,1020,1038,791,929,954,971,1047,805,1034,978,991,872,1070,980,901,800,981,1039,954,958,1004,965,878,912,1057,978,998,923,1064,1026,982,1024,970
"09-Jul",929,893,895,836,925,898,1034,913,983,1067,1021,1041,792,926,953,972,1041,795,1033,971,987,873,1074,979,902,795,982,1043,954,956,1003,962,880,909,1059,978,1005,927,1063,1027,986,1022,966
"10-Jul",922,891,888,835,924,895,1040,917,986,1065,1021,1043,792,922,953,972,1036,789,1032,967,983,875,1077,977,903,793,984,1044,955,952,1003,959,883,904,1060,976,1011,931,1062,1028,989,1018,964
"11-Jul",918,885,880,831,924,893,1046,919,988,1064,1022,1047,792,920,951,971,1029,782,1029,963,982,877,1078,976,904,794,985,1046,955,946,999,957,888,902,1061,972,1020,935,1062,1030,991,1014,962
"12-Jul",911,883,880,829,924,891,1050,921,989,1063,1024,1047,792,920,949,970,1023,780,1025,957,989,879,1079,976,905,797,986,1049,955,940,996,952,893,899,1061,968,1027,937,1060,1030,991,1008,960
"13-Jul",906,882,880,825,925,887,1053,927,989,1061,1022,1047,793,923,947,969,1015,780,1021,951,990,881,1078,975,905,803,987,1053,955,935,991,945,897,897,1060,965,1032,936,1059,1031,991,1001,960
"14-Jul",901,881,878,823,926,884,1056,927,989,1057,1023,1047,794,927,943,967,1010,784,1018,942,989,884,1078,974,903,809,988,1055,955,930,985,939,903,896,1059,961,1037,936,1059,1030,989,995,957
"15-Jul",899,881,875,821,926,887,1058,926,991,1049,1023,1047,795,929,939,964,1007,788,1015,935,990,887,1078,973,903,816,989,1057,954,926,979,932,906,896,1059,956,1041,934,1060,1028,986,989,956
"16-Jul",897,883,872,819,927,889,1060,925,991,1041,1023,1048,801,931,934,961,1005,791,1011,927,988,890,1079,972,904,821,990,1057,954,924,972,925,911,895,1058,950,1043,932,1060,1024,981,983,957
"17-Jul",893,889,869,816,929,900,1062,921,992,1036,1022,1049,806,934,927,960,1005,795,1007,919,985,892,1080,970,906,822,992,1056,954,922,965,918,918,894,1058,946,1046,932,1058,1021,977,977,958
"18-Jul",889,895,862,813,930,895,1062,919,994,1029,1020,1047,811,936,918,959,1005,799,1004,911,981,893,1082,967,908,821,994,1055,953,922,958,913,925,892,1057,941,1049,931,1057,1017,973,972,960
"19-Jul",884,900,857,808,931,900,1064,917,995,1020,1018,1046,814,938,907,956,1004,804,1001,902,976,893,1082,964,909,817,997,1051,952,922,950,908,931,888,1056,937,1051,928,1057,1012,969,967,962
"20-Jul",878,905,851,803,931,902,1064,915,994,1014,1014,1046,817,938,894,956,1005,809,997,894,970,892,1083,961,910,811,1002,1047,952,922,944,904,938,883,1053,934,1053,924,1056,1008,966,963,963
"21-Jul",875,910,845,799,930,906,1066,912,993,1010,1012,1049,822,937,881,960,1003,815,991,887,963,890,1082,956,913,806,1005,1044,949,922,940,897,942,878,1052,931,1053,919,1053,1004,965,959,966
"22-Jul",871,914,841,786,930,911,1067,909,997,1005,1009,1050,828,935,874,960,1003,823,989,876,956,888,1083,951,915,801,1010,1042,946,921,938,890,947,872,1048,930,1055,915,1052,996,964,956,966
"23-Jul",867,917,835,781,928,916,1071,902,999,1004,1003,1048,833,930,865,962,1003,829,987,867,948,885,1084,942,916,795,1014,1039,941,919,936,885,949,866,1044,930,1055,908,1050,989,964,952,966
"24-Jul",865,918,831,777,931,921,1074,896,997,998,997,1046,839,927,858,962,1003,836,983,859,939,882,1083,933,918,793,1015,1037,938,916,931,882,948,863,1041,933,1054,900,1051,981,964,948,968
"25-Jul",864,917,828,773,930,926,1071,895,998,996,995,1043,841,921,853,963,1001,842,980,854,930,879,1080,928,921,788,1017,1035,933,911,924,883,946,860,1038,934,1052,894,1051,975,964,948,970
"26-Jul",864,915,827,769,932,930,1071,893,1000,995,990,1041,842,917,849,962,998,845,979,850,922,876,1077,921,923,782,1017,1034,928,906,916,884,942,860,1034,935,1049,892,1050,969,963,951,974
"27-Jul",866,912,827,767,933,934,1070,887,1003,993,987,1037,842,915,845,961,995,846,977,850,914,874,1074,916,924,774,1015,1030,925,899,907,887,938,863,1030,935,1045,889,1050,967,963,955,978
"28-Jul",866,908,830,765,934,937,1070,884,1008,994,982,1033,841,912,841,959,992,844,974,851,910,872,1070,912,925,768,1014,1024,922,893,896,889,931,863,1027,936,1041,887,1051,964,963,958,981
